date;Autres;Cures thermales;Dentistes;Généralistes;Indemnités journalières (IJ);Infirmières;Kinésithérapeutes;Laboratoires;Liste des produits et prestations (LPP);Médicaments;Orthophonistes;Orthoptistes;Pédicures;Remboursement de soins à l'étranger;Sages-femmes;Spécialistes;Total;Transports;dont IJ maladie;dont autres médicaments (franchises, Rosp, gardes pharmacies …);dont rétrocession hospitalière
2015-01-01;2510099.6362070004;13569451.014;218360090.8547976;745599821.212524;778398541.62;417368087.407904;248942483.228;226258031.154;409408045.71;1760247012.4754324;47235961.84134;5171914.9363;1385454.66249;13128018.075;16751191.590737998;781388141.023946;6028024000.84737;285515741.13206;554039116.19;77314685.96959999;220810860.25
2015-02-01;4016426.095132;16251533.443;217672532.4430585;461564705.01219094;774695592.21;417706099.476;247407044.745;226509406.203;397228057.75;1635961779.9258654;42313807.29327;4949723.7412;1386585.4549800002;13065309.183;16577969.628104001;750377434.4350171;5561081671.291377;278110530.30397;555245693.8199999;-44154300.1383;223630754.94
2015-03-01;5051654.929671;18071913.297;234100746.08940497;461090846.9559999;779007073.29;420545033.30773705;261955925.04999998;236519698.404;425168593.01;1644557192.757665;52489197.92182;5481767.1321;1505578.73935;13344798.754;17802744.96049;779317690.0814149;5705020052.036714;290250677.34175;554977121.6800001;-43327208.815036;229886582.37
2015-04-01;6788214.524708999;17682513.836;225304337.18927002;452627020.42692107;777336096.7800001;424249715.83945405;257120960.48700002;239212288.16399997;426985986.94;1627876006.5596244;45845411.013914;5260044.23512;1445524.04996;13250676.96;17690389.711722;775644531.079851;5659840374.193704;287598341.07039;557893099.53;-42986377.890728995;221363458.2
2015-05-01;4282449.423827;19371516.721;217840759.72790998;449977175.5463781;772364356.3800001;429948480.98897994;246118206.805;236412326.64;403306015.38;1603167950.0306013;46526470.02985801;5348869.9422;1460631.6356300001;13257230.714;17746584.999098998;758086318.525753;5567403585.346766;284524538.36182004;547553965.8;-43147521.94346;201293722.0
2015-06-01;3739088.653026;15912272.178;231702042.75636;466538199.34828216;813190037.5;426999462.9899199;264304795.002;238575271.866;437120061.85;1603564139.7745347;48777888.713842;5377755.4907;1528253.9246999999;13824796.287;17883442.705314998;768029246.5201559;5704704281.888559;289373688.98352003;580523573.4;-42902036.749;201547469.32
2015-07-01;5024817.126395;17219283.922;225493378.047825;453154312.27480215;792971961.5799999;432697317.0071021;261767034.874;240974303.18;424571698.06;1606755152.085987;48395299.978690006;5256350.1725;1501027.63265;13526941.214;18233193.561751;783169567.3908981;5681580446.036076;293105652.71606;564906909.41;-41261871.96768;187840500.19
2015-08-01;2656420.0070139994;19163533.286;229204894.33993602;453875107.2433411;797672986.54;434296643.8344593;268297391.57900003;249048637.283;437438793.84;1567572239.625868;53866383.38555001;5459615.10572;1515077.74496;13948444.624;18496817.176872;776200655.9303219;5681532469.81085;292155242.21739995;568200639.02;-42020571.688204;175181466.92
2015-09-01;7199461.189189001;17823902.028;228077712.890773;455397434.3828719;802367254.5799999;432451079.3764301;263122967.291;237316068.226;440877458.87;1617714828.5256188;49842352.848312;5399609.4251999995;1564296.07541;14491062.449;18256427.333373;786796869.3577799;5729662526.0052;292697629.45132;571101898.52;-44572053.528516;179919001.97
2015-10-01;4539555.5256900005;18916222.955;222309805.79884;446192756.1625786;802886757.73;429610830.969275;258151876.37;232631644.76399997;423740470.68;1574255140.0932693;47733849.81513;5393272.92734;1578113.3697900001;14966528.308;18070438.276481;776645357.128679;5626740531.209946;291194462.27302;572773424.8299999;-41080625.478584;187286891.56
2015-11-01;5696921.746302;17452292.646;239393932.04296;453530370.43460995;805073493.29;431459957.433;271353368.426;239632818.238;429281401.27;1626998563.6559165;51328534.64049;5685101.5868;1672090.17046;16073071.64;18589786.190428;788408421.2410039;5759085871.528703;298053855.19449;576419000.19;-42455958.1282;210252961.79
2015-12-01;5445487.770565;28872073.732;232262307.43762;453731010.5666401;821290887.14;437572509.27599996;259953241.128;248386767.23000002;447008841.57;1612971902.5109801;47422881.21906;5519129.84703;1739904.05124;23055079.138;19172256.313828;786899147.0928271;5786300767.473193;295623987.62091;586909034.54;-42300759.85962;208675839.77
2016-01-01;2771361.691446;14160333.42;234565689.296245;757515829.66377;806804279.79;439040021.475077;264345880.75771996;243965187.72399998;439765610.47;1700004152.6204998;50586336.93404201;5645026.3411;1670018.28007;14144869.343;18747895.466282;842260198.021541;6190604005.785395;293392475.10481995;575947347.54;73135401.1256;192426553.08
2016-02-01;6761412.409173001;25247997.504;228679840.14688003;456535489.216777;837918185.0;458612599.78699994;267741630.61616498;245613534.815;434694826.87;1656717186.4774;47498974.68439;5403831.1753;1693673.01272;14869243.847;18679422.205103;791703619.7882771;5856875464.111062;297790721.7349799;596362192.04;-44998882.0157;220590491.88
2016-03-01;6653758.093728001;19269079.364;230893509.70952702;486719224.762113;822076733.5999999;442750332.32268804;265857156.537012;238630397.68;444231116.87;1625839560.4053705;50349071.748184;5496621.4725;1717321.6371900002;14863210.807;18264586.014419;805064639.5755819;5842865856.805389;302536496.6557101;590607069.2;-46875655.215;219375059.98
2016-04-01;15253065.521561;18857263.808;221356349.444908;452490448.9761742;817331837.5899999;440852919.6488319;260320159.86967;245416179.307;438750916.03;1608603610.4738362;45231146.50296199;5268521.92385;1665030.04739;14993773.359;16839621.687505998;785731634.3289981;5759954278.437267;291635326.9976001;584843597.65;-45763158.959364;205108830.06
2016-05-01;7946253.448144999;19757891.135;234063374.701736;470774122.5112249;820844975.89;444651550.367;275655450.895371;245025488.346;449180864.39;1642349054.990945;53536109.664280005;5672467.7288;1737282.37501;15050250.247;18094637.814199;808711810.2310841;5880861375.011505;304330714.85030997;591149826.21;-41968079.541555;213545547.2
2016-06-01;7798245.396791;17927910.698;225839617.52528304;465857740.0834;831767275.84;449449171.89538497;270465441.7717;239857596.15500003;434872297.44;1603931049.9772904;49823356.08561799;5549125.9507;1708382.57834;15086977.209;19187400.255757;793222657.4727061;5796841153.33381;302934541.05631;596672525.51;-40261735.128373004;206516091.69
2016-07-01;5793156.553793001;19162698.322;227532876.91787;459603585.997664;815266373.28;448719150.64392805;261124884.01892;244265662.388;455647885.01;1612571177.4890702;51545818.069837004;5548865.7944;1777469.00537;14377521.756;19151272.166176;801372347.0122449;5804555398.225893;298185329.03705996;581233232.55;-40977580.21343;201441863.21
2016-08-01;5571118.459668999;17703850.61;241671633.66610098;470602539.916413;825782394.27;452810590.53133297;283185446.88488907;247551459.293;467887263.01;1644181064.5104535;60060781.65164;5850566.1898;1906033.36944;14505979.004;20755745.864180997;825351731.383441;5964145986.93871;312892654.61147004;590745313.4100001;-38934021.365122;219149884.1
2016-09-01;3242771.3017520006;18781832.444;236284390.57855;453520382.52778;830003435.0500001;455258114.43;278730892.44303703;245328386.047;451368675.86;1629668306.6894712;52175440.49011;5772178.3285300005;1864887.84811;15107590.716;19974837.327949;819650259.7825379;5888954874.650251;309686382.15344995;592782843.87;-37497448.004599996;218638786.27
2016-10-01;3435217.0527959997;18393887.302;225001156.83649302;452326571.266225;827317465.9899999;454839054.468;264745186.817;239794587.22500002;429672342.98;1640704989.7335951;52249998.848234005;5586266.695400001;1859749.03997;14983440.725;19567193.716477003;795252644.7031751;5813250193.979747;305402929.28094;588908234.98;-36755846.822004996;221046382.36
2016-11-01;2109663.7459070003;18695780.854;234333705.11898002;467465605.31694305;837004799.19;456406083.594;273243241.80600005;234921356.97300002;494802358.31;1669516452.7646;49848879.323699996;5692893.2866;1947649.5629599998;14849927.062;20126593.759829;812027735.2115811;5971188954.88445;313631633.10744;597232025.2;-38037052.802;237935644.66
2016-12-01;690326.021173;25642791.853;224701970.663072;471114636.77797705;845983479.0300001;459156381.634;267371992.989395;226291973.19099998;436891945.41;1632104926.8638241;47614859.04532;5399539.66981;1910824.3662299998;17346904.179;19660471.19717;809883725.1120782;5865246541.109171;310919678.86640006;609549755.91;-43072562.8776;220077210.45
2017-01-01;2166746.530442;21323601.463;230591789.67345902;780889404.7956116;859891000.4899999;460122736.43700004;270275936.171659;240214503.19;445888850.85;1774006619.2135234;49164200.750879996;5524968.3359;1854800.27228;15781875.334;19574388.433883;844214817.2636912;6392625987.469348;307053178.15564996;614858724.17;70239926.3401;237066557.32
2017-02-01;4264353.992036;24548330.44;229986475.324427;431727867.3768099;810346930.0900002;458846530.30011606;267088024.87399998;247042598.21499997;458778716.96;1626479743.9012256;50567953.588599995;5500964.6105;1956939.96121;15624568.15;19506898.534353998;802718033.0682629;5824440672.237341;305191781.11411005;567831792.22;-41040829.9916746;237123997.9
2017-03-01;3327223.545727;19998753.891;236976685.46324998;459655305.990145;844657987.0300001;462207625.871;278619352.453301;249393049.11299998;463628829.62;1656738614.4849734;53371154.72609;5941192.0971;2030143.22947;16172006.511;20428934.450504;832155071.31085;5985783312.9946995;316104381.21581;597819337.94;-43821273.6369438;239642285.19
2017-04-01;6064532.086193;20014320.775;223245045.86216104;442320394.32906914;861476280.22;462173273.32199997;265515987.28600004;234569150.39;466765177.01;1620681108.0527377;47785325.74621;5454924.9685;1954881.99868;16053769.947;20108232.60728;792893679.7699022;5872153985.796343;303630685.87151;609463839.61;-41596156.6805626;229326001.03
2017-05-01;6505651.242372;20219359.901;237103860.765569;497317085.732715;863860835.52;465297326.64684;281027272.54073006;243678536.07099998;471547512.8;1649571396.10133;53424227.227024;5822217.1967;2033508.73508;16939789.323;21063720.95229;831048194.907712;6052150008.993901;319922829.9062;614193360.47;-44276126.467177704;232029096.02
2017-06-01;4157104.7617140003;19796233.462;231871430.41661;488054131.5502;861101286.42;468668067.02211;277234456.0445;240735885.13099998;474285536.56;1671825685.8721097;52167736.378036;5719850.4962;2100923.15976;16068921.294;20523999.436574;827352288.284195;6043717311.54828;316085263.22648007;612663859.62;-40084375.644716;245435358.36
2017-07-01;6704296.493648;20241513.91;238835535.00868002;496322456.498428;866289333.9100001;471837043.198795;285253459.48402;252353462.46799996;473047102.67;1682468985.014086;56514784.908879995;5842625.680199999;2111113.93322;16420316.782;21047782.767481;844943079.309226;6126188246.990417;317991911.99520004;618461376.07;-40199715.575914;241739378.64
2017-08-01;3026102.1995689995;17880100.188;244470239.644154;499071437.89776886;885070356.98;474536886.70272;287938211.813;250666987.051;464968814.09;1671113361.483265;58839545.08855;5973375.6313000005;2174967.23975;16478389.494;21973159.602113;865095581.8709619;6160461892.826164;320006427.70355;631590815.79;-39630047.938635;227676356.92
2017-09-01;2087858.378002;19962775.903;234713489.00451;488789309.105923;875715917.23;473817141.418;282786626.444;248722167.15999997;502676618.05;1670618671.7222;50904749.98902;5908555.0474;2130556.39213;17061518.692;20727254.382705998;840942097.965373;6122126403.932946;317237892.56960005;624407273.33;-39523226.9342;222580458.86
2017-10-01;2734650.8372380002;18176517.486;240911602.07978994;494927290.5632071;864786850.89;472889196.702;285492509.06100005;243470955.665;482443602.05;1662165865.4088533;55202359.943129994;6106619.173099999;2242414.35124;18076253.363;21398972.08549;861096099.0617961;6123603658.570605;322535297.00636005;617581827.68;-40834387.850746;225667295.03
2017-11-01;3863830.1802470004;18642463.541;235999944.62984;490574817.56773597;877999332.6200001;476466220.41099995;276652481.95100003;245495757.162;459648486.13;1633501709.902444;50268200.62893999;5841399.4384;2097890.52093;19115356.376;20759318.367201;851309930.543606;6056143885.492816;318667268.69527;626671496.26;-39029344.6285559;209701912.53
2017-12-01;769267.1420160001;23113307.975;245392816.492558;518694632.5368401;874961566.09;479456115.816;290357122.24899995;252790787.721;475676796.47;1680791616.7829878;59291774.61336;6381219.900900001;2262506.26204;19013070.448;21982270.181973003;892391413.1477611;6251918811.421788;337528018.90150005;624362911.55;-44759001.4429122;223578831.9
2018-01-01;2027298.46929;20421116.557;232557358.62067002;775458214.3090299;878548772.8;480226474.852;275313464.6599309;250898745.85000002;513935736.8;1825345376.7163;48105616.6682323;6579725.2596;2282432.93265;17487626.148;20765872.604396;886844586.2393379;6625400726.020514;316458038.55337;623366601.04;99210960.93089998;227335559.91
2018-02-01;3638598.7739419993;20786395.985;237301943.47161;436316417.886666;886957206.71;479316535.1330001;282608417.76100004;238894462.21199998;471679107.33;1665455753.4304717;55327907.49362;6820477.725900001;2207703.27733;17978848.932;21319767.109098;852677951.2903143;6070336757.773439;322879189.44464;626872895.25;-46374240.064728;216817214.19
2018-03-01;4275626.158048;20974028.564;229179977.87993;445244466.7896501;912108989.45;481139535.186;276451517.509;245282804.47800002;492618591.74;1671343666.8682299;47729968.78813001;6618316.4744;2247214.19569;18480312.332;21266174.925798;835884335.7170563;6099251276.447538;319799217.95979005;645681103.72;-47287404.421501696;210793261.6
2018-04-01;22849547.857631;20090617.808;245919600.84735;610151383.5311399;864624379.7500001;483488354.722;286938365.4119571;244195548.516;473034387.49;1652745628.9935107;58208109.00675;7379386.1456;2437069.3437300003;18115635.096;22363659.871665;875517762.9484018;6289378268.136374;327115134.87029994;613829732.24;-44257196.3973891;192253497.22
2018-05-01;15952546.202699002;17865169.449;225798609.12708998;443225269.5554321;889629988.36;484844430.48788005;277969580.6308599;244915214.493;485820761.88;1682546617.1366904;50100865.264268994;7063286.5147;2362703.58335;18579324.283;22363924.207230996;854069596.641988;6114121136.155;321638123.47568;626711253.8;-42219896.133009896;188606199.33
